Date,Open,High,Low,Close,Adj Close,Volume
2021-01-18,null,null,null,null,null,null
2021-01-19,null,null,null,null,null,null
2021-01-20,null,null,null,null,null,null
2021-01-21,null,null,null,null,null,null
2021-01-22,null,null,null,null,null,null
2021-01-23,null,null,null,null,null,null
2021-01-24,null,null,null,null,null,null
2021-01-25,null,null,null,null,null,null
2021-01-26,null,null,null,null,null,null
2021-01-27,null,null,null,null,null,null
2021-01-28,null,null,null,null,null,null
2021-01-29,null,null,null,null,null,null
2021-01-30,null,null,null,null,null,null
2021-01-31,null,null,null,null,null,null
2021-02-01,null,null,null,null,null,null
2021-02-02,null,null,null,null,null,null
2021-02-03,null,null,null,null,null,null
2021-02-04,null,null,null,null,null,null
2021-02-05,null,null,null,null,null,null
2021-02-06,null,null,null,null,null,null
2021-02-07,null,null,null,null,null,null
2021-02-08,null,null,null,null,null,null
2021-02-09,null,null,null,null,null,null
2021-02-10,null,null,null,null,null,null
2021-02-11,null,null,null,null,null,null
2021-02-12,null,null,null,null,null,null
2021-02-13,null,null,null,null,null,null
2021-02-14,null,null,null,null,null,null
2021-02-15,null,null,null,null,null,null
2021-02-16,null,null,null,null,null,null
2021-02-17,null,null,null,null,null,null
2021-02-18,0.026960,0.029456,0.025927,0.027961,0.027961,40684903
2021-02-19,0.028023,0.033775,0.027919,0.032956,0.032956,63795935
2021-02-20,0.032867,0.035079,0.028434,0.029779,0.029779,53389106
2021-02-21,0.029774,0.031187,0.028943,0.029548,0.029548,34770529
2021-02-22,0.029485,0.029628,0.021718,0.026038,0.026038,40311022
2021-02-23,0.025969,0.025969,0.017534,0.020387,0.020387,42298037
2021-02-24,0.020448,0.024435,0.019411,0.022997,0.022997,28144868
2021-02-25,0.022959,0.029151,0.021862,0.024083,0.024083,42938175
2021-02-26,0.024158,0.030169,0.022937,0.028768,0.028768,79224042
2021-02-27,0.028670,0.028968,0.024824,0.025628,0.025628,31324494
2021-02-28,0.025708,0.025930,0.021644,0.024204,0.024204,29948724
2021-03-01,0.024244,0.030460,0.024213,0.029163,0.029163,44827266
2021-03-02,0.029146,0.030866,0.027254,0.028799,0.028799,27352215
2021-03-03,0.028835,0.031310,0.028520,0.030079,0.030079,26874018
2021-03-04,0.030042,0.033115,0.028558,0.032655,0.032655,37721391
2021-03-05,0.032646,0.037483,0.029633,0.036423,0.036423,79574533
2021-03-06,0.036159,0.047828,0.035829,0.038187,0.038187,135912518
2021-03-07,0.038260,0.038653,0.035651,0.037069,0.037069,47193989
2021-03-08,0.037093,0.038160,0.034639,0.036279,0.036279,42116816
2021-03-09,0.036267,0.042151,0.035712,0.041838,0.041838,57887689
2021-03-10,0.041906,0.046700,0.040144,0.041431,0.041431,83883057
2021-03-11,0.041349,0.042379,0.038259,0.042054,0.042054,42788549
2021-03-12,0.042066,0.063213,0.041371,0.058525,0.058525,292767922
